Axi A1 Relic (Intact),Axi A1 Relic (Intact).1
Mirage Prime Chassis Blueprint,Uncommon (20.00%)
Kogake Prime Boot,Uncommon (20.00%)
,
Axi A12 Relic (Radiant),Axi A12 Relic (Radiant)
Akbolto Prime Receiver,Uncommon (10.00%)
Helios Prime Systems,Uncommon (20.00%)
Banshee Prime Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (16.67%)
Mirage Prime Chassis Blueprint,Uncommon (16.67%)
Kogake Prime Boot,Uncommon (16.67%)
,
Axi A13 Relic (Intact),Axi A13 Relic (Intact)
Aksomati Prime Link,Rare (2.00%)
Orthos Prime Blueprint,Uncommon (11.00%)
Pangolin Prime Blade,Uncommon (11.00%)
Forma Blueprint,Uncommon (25.33%)
Burston Prime Receiver,Uncommon (25.33%)
Inaros Prime Systems Blueprint,Uncommon (25.33%)
,
Axi A13 Relic (Exceptional),Axi A13 Relic (Exceptional)
Aksomati Prime Link,Rare (4.00%)
Orthos Prime Blueprint,Uncommon (13.00%)
Pangolin Prime Blade,Uncommon (13.00%)
Forma Blueprint,Uncommon (23.33%)
Burston Prime Receiver,Uncommon (23.33%)
Inaros Prime Systems Blueprint,Uncommon (23.33%)
,
Axi A13 Relic (Flawless),Axi A13 Relic (Flawless)
Aksomati Prime Link,Rare (6.00%)
Orthos Prime Blueprint,Uncommon (17.00%)
Pangolin Prime Blade,Uncommon (17.00%)
Forma Blueprint,Uncommon (20.00%)
Burston Prime Receiver,Uncommon (20.00%)
Inaros Prime Systems Blueprint,Uncommon (20.00%)
,
Axi A13 Relic (Radiant),Axi A13 Relic (Radiant)
Aksomati Prime Link,Uncommon (10.00%)
Orthos Prime Blueprint,Uncommon (20.00%)
Pangolin Prime Blade,Uncommon (20.00%)
Forma Blueprint,Uncommon (16.67%)
Burston Prime Receiver,Uncommon (16.67%)
Inaros Prime Systems Blueprint,Uncommon (16.67%)
,
Axi A14 Relic (Intact),Axi A14 Relic (Intact)
Aksomati Prime Link,Rare (2.00%)
Karyst Prime Handle,Uncommon (11.00%)
Nidus Prime Blueprint,Uncommon (11.00%)
Zakti Prime Receiver,Uncommon (25.33%)
Paris Prime Blueprint,Uncommon (25.33%)
Volnus Prime Blueprint,Uncommon (25.33%)
,
Axi A14 Relic (Exceptional),Axi A14 Relic (Exceptional)
Aksomati Prime Link,Rare (4.00%)
Karyst Prime Handle,Uncommon (13.00%)
Nidus Prime Blueprint,Uncommon (13.00%)
Zakti Prime Receiver,Uncommon (23.33%)
Paris Prime Blueprint,Uncommon (23.33%)
Volnus Prime Blueprint,Uncommon (23.33%)
,
Axi A14 Relic (Flawless),Axi A14 Relic (Flawless)
Aksomati Prime Link,Rare (6.00%)
Karyst Prime Handle,Uncommon (17.00%)
Nidus Prime Blueprint,Uncommon (17.00%)
Zakti Prime Receiver,Uncommon (20.00%)
Paris Prime Blueprint,Uncommon (20.00%)
Volnus Prime Blueprint,Uncommon (20.00%)
,
Axi A14 Relic (Radiant),Axi A14 Relic (Radiant)
Aksomati Prime Link,Uncommon (10.00%)
Karyst Prime Handle,Uncommon (20.00%)
Nidus Prime Blueprint,Uncommon (20.00%)
Zakti Prime Receiver,Uncommon (16.67%)
Paris Prime Blueprint,Uncommon (16.67%)
Volnus Prime Blueprint,Uncommon (16.67%)
,
Axi A15 Relic (Intact),Axi A15 Relic (Intact)
Aksomati Prime Link,Rare (2.00%)
Oberon Prime Systems Blueprint,Uncommon (11.00%)
Ivara Prime Systems Blueprint,Uncommon (11.00%)
Baza Prime Receiver,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Sybaris Prime Stock,Uncommon (25.33%)
,
Axi A15 Relic (Exceptional),Axi A15 Relic (Exceptional)
Aksomati Prime Link,Rare (4.00%)
Oberon Prime Systems Blueprint,Uncommon (13.00%)
Ivara Prime Systems Blueprint,Uncommon (13.00%)
Baza Prime Receiver,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Sybaris Prime Stock,Uncommon (23.33%)
,
Axi A15 Relic (Flawless),Axi A15 Relic (Flawless)
Aksomati Prime Link,Rare (6.00%)
Oberon Prime Systems Blueprint,Uncommon (17.00%)
Ivara Prime Systems Blueprint,Uncommon (17.00%)
Baza Prime Receiver,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Sybaris Prime Stock,Uncommon (20.00%)
,
Axi A15 Relic (Radiant),Axi A15 Relic (Radiant)
Aksomati Prime Link,Uncommon (10.00%)
Oberon Prime Systems Blueprint,Uncommon (20.00%)
Ivara Prime Systems Blueprint,Uncommon (20.00%)
Baza Prime Receiver,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Sybaris Prime Stock,Uncommon (16.67%)
,
Axi A16 Relic (Intact),Axi A16 Relic (Intact)
Afuris Prime Receiver,Rare (2.00%)
Revenant Prime Systems Blueprint,Uncommon (11.00%)
Harrow Prime Neuroptics Blueprint,Uncommon (11.00%)
Scourge Prime Blade,Uncommon (25.33%)
Braton Prime Blueprint,Uncommon (25.33%)
Fang Prime Handle,Uncommon (25.33%)
,
Axi A16 Relic (Exceptional),Axi A16 Relic (Exceptional)
Afuris Prime Receiver,Rare (4.00%)
Revenant Prime Systems Blueprint,Uncommon (13.00%)
Harrow Prime Neuroptics Blueprint,Uncommon (13.00%)
Scourge Prime Blade,Uncommon (23.33%)
Braton Prime Blueprint,Uncommon (23.33%)
Fang Prime Handle,Uncommon (23.33%)
,
Axi A16 Relic (Flawless),Axi A16 Relic (Flawless)
Afuris Prime Receiver,Rare (6.00%)
Revenant Prime Systems Blueprint,Uncommon (17.00%)
Harrow Prime Neuroptics Blueprint,Uncommon (17.00%)
Scourge Prime Blade,Uncommon (20.00%)
Braton Prime Blueprint,Uncommon (20.00%)
Fang Prime Handle,Uncommon (20.00%)
,
Axi A16 Relic (Radiant),Axi A16 Relic (Radiant)
Afuris Prime Receiver,Uncommon (10.00%)
Revenant Prime Systems Blueprint,Uncommon (20.00%)
Harrow Prime Neuroptics Blueprint,Uncommon (20.00%)
Scourge Prime Blade,Uncommon (16.67%)
Braton Prime Blueprint,Uncommon (16.67%)
Fang Prime Handle,Uncommon (16.67%)
,
Axi A17 Relic (Intact),Axi A17 Relic (Intact)
Afuris Prime Receiver,Rare (2.00%)
Orthos Prime Blueprint,Uncommon (11.00%)
Shade Prime Blueprint,Uncommon (11.00%)
Forma Blueprint,Uncommon (25.33%)
Wisp Prime Systems Blueprint,Uncommon (25.33%)
Braton Prime Barrel,Uncommon (25.33%)
,
Axi A17 Relic (Exceptional),Axi A17 Relic (Exceptional)
Afuris Prime Receiver,Rare (4.00%)
Orthos Prime Blueprint,Uncommon (13.00%)
Shade Prime Blueprint,Uncommon (13.00%)
Forma Blueprint,Uncommon (23.33%)
Wisp Prime Systems Blueprint,Uncommon (23.33%)
Braton Prime Barrel,Uncommon (23.33%)
,
Axi A17 Relic (Flawless),Axi A17 Relic (Flawless)
Afuris Prime Receiver,Rare (6.00%)
Orthos Prime Blueprint,Uncommon (17.00%)
Shade Prime Blueprint,Uncommon (17.00%)
Forma Blueprint,Uncommon (20.00%)
Wisp Prime Systems Blueprint,Uncommon (20.00%)
Braton Prime Barrel,Uncommon (20.00%)
,
Axi A17 Relic (Radiant),Axi A17 Relic (Radiant)
Afuris Prime Receiver,Uncommon (10.00%)
Orthos Prime Blueprint,Uncommon (20.00%)
Shade Prime Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (16.67%)
Wisp Prime Systems Blueprint,Uncommon (16.67%)
Braton Prime Barrel,Uncommon (16.67%)
,
Axi A2 Relic (Intact),Axi A2 Relic (Intact)
Aklex Prime Link,Rare (2.00%)
Aklex Prime Blueprint,Uncommon (11.00%)
Lex Prime Blueprint,Uncommon (11.00%)
Lex Prime Receiver,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Lex Prime Barrel,Uncommon (25.33%)
,
Axi A2 Relic (Exceptional),Axi A2 Relic (Exceptional)
Aklex Prime Link,Rare (4.00%)
Aklex Prime Blueprint,Uncommon (13.00%)
Lex Prime Blueprint,Uncommon (13.00%)
Lex Prime Receiver,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Lex Prime Barrel,Uncommon (23.33%)
,
Axi A2 Relic (Flawless),Axi A2 Relic (Flawless)
Aklex Prime Link,Rare (6.00%)
Aklex Prime Blueprint,Uncommon (17.00%)
Lex Prime Blueprint,Uncommon (17.00%)
Lex Prime Receiver,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Lex Prime Barrel,Uncommon (20.00%)
,
Axi A2 Relic (Radiant),Axi A2 Relic (Radiant)
Aklex Prime Link,Uncommon (10.00%)
Aklex Prime Blueprint,Uncommon (20.00%)
Lex Prime Blueprint,Uncommon (20.00%)
Lex Prime Receiver,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Lex Prime Barrel,Uncommon (16.67%)
,
Axi A3 Relic (Intact),Axi A3 Relic (Intact)
Akbolto Prime Receiver,Rare (2.00%)
Hydroid Prime Neuroptics Blueprint,Uncommon (11.00%)
Cernos Prime String,Uncommon (11.00%)
Braton Prime Barrel,Uncommon (25.33%)
Helios Prime Carapace,Uncommon (25.33%)
Kogake Prime Boot,Uncommon (25.33%)
,
Axi A3 Relic (Exceptional),Axi A3 Relic (Exceptional)
Akbolto Prime Receiver,Rare (4.00%)
Hydroid Prime Neuroptics Blueprint,Uncommon (13.00%)
Cernos Prime String,Uncommon (13.00%)
Braton Prime Barrel,Uncommon (23.33%)
Helios Prime Carapace,Uncommon (23.33%)
Kogake Prime Boot,Uncommon (23.33%)
,
Axi A3 Relic (Flawless),Axi A3 Relic (Flawless)
Akbolto Prime Receiver,Rare (6.00%)
Hydroid Prime Neuroptics Blueprint,Uncommon (17.00%)
Cernos Prime String,Uncommon (17.00%)
Braton Prime Barrel,Uncommon (20.00%)
Helios Prime Carapace,Uncommon (20.00%)
Kogake Prime Boot,Uncommon (20.00%)
,
Axi A3 Relic (Radiant),Axi A3 Relic (Radiant)
Akbolto Prime Receiver,Uncommon (10.00%)
Hydroid Prime Neuroptics Blueprint,Uncommon (20.00%)
Cernos Prime String,Uncommon (20.00%)
Braton Prime Barrel,Uncommon (16.67%)
Helios Prime Carapace,Uncommon (16.67%)
Kogake Prime Boot,Uncommon (16.67%)
,
Axi A4 Relic (Intact),Axi A4 Relic (Intact)
Akbolto Prime Receiver,Rare (2.00%)
Fang Prime Handle,Uncommon (11.00%)
Ballistica Prime String,Uncommon (11.00%)
Braton Prime Stock,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Zephyr Prime Neuroptics Blueprint,Uncommon (25.33%)
,
Axi A4 Relic (Exceptional),Axi A4 Relic (Exceptional)
Akbolto Prime Receiver,Rare (4.00%)
Fang Prime Handle,Uncommon (13.00%)
Ballistica Prime String,Uncommon (13.00%)
Braton Prime Stock,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Zephyr Prime Neuroptics Blueprint,Uncommon (23.33%)
,
Axi A4 Relic (Flawless),Axi A4 Relic (Flawless)
Akbolto Prime Receiver,Rare (6.00%)
Fang Prime Handle,Uncommon (17.00%)
Ballistica Prime String,Uncommon (17.00%)
Braton Prime Stock,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Zephyr Prime Neuroptics Blueprint,Uncommon (20.00%)
,
Axi A4 Relic (Radiant),Axi A4 Relic (Radiant)
Akbolto Prime Receiver,Uncommon (10.00%)
Fang Prime Handle,Uncommon (20.00%)
Ballistica Prime String,Uncommon (20.00%)
Braton Prime Stock,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Zephyr Prime Neuroptics Blueprint,Uncommon (16.67%)
,
Axi A5 Relic (Intact),Axi A5 Relic (Intact)
Akvasto Prime Blueprint,Rare (2.00%)
Vasto Prime Blueprint,Uncommon (11.00%)
Akvasto Prime Link,Uncommon (11.00%)
Vasto Prime Barrel,Uncommon (25.33%)
Vasto Prime Receiver,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Axi A5 Relic (Exceptional),Axi A5 Relic (Exceptional)
Akvasto Prime Blueprint,Rare (4.00%)
Vasto Prime Blueprint,Uncommon (13.00%)
Akvasto Prime Link,Uncommon (13.00%)
Vasto Prime Barrel,Uncommon (23.33%)
Vasto Prime Receiver,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Axi A5 Relic (Flawless),Axi A5 Relic (Flawless)
Akvasto Prime Blueprint,Rare (6.00%)
Vasto Prime Blueprint,Uncommon (17.00%)
Akvasto Prime Link,Uncommon (17.00%)
Vasto Prime Barrel,Uncommon (20.00%)
Vasto Prime Receiver,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
,
Axi A5 Relic (Radiant),Axi A5 Relic (Radiant)
Akvasto Prime Blueprint,Uncommon (10.00%)
Vasto Prime Blueprint,Uncommon (20.00%)
Akvasto Prime Link,Uncommon (20.00%)
Vasto Prime Barrel,Uncommon (16.67%)
Vasto Prime Receiver,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
,
Axi A6 Relic (Intact),Axi A6 Relic (Intact)
Atlas Prime Neuroptics Blueprint,Rare (2.00%)
Zhuge Prime Blueprint,Uncommon (11.00%)
Tipedo Prime Ornament,Uncommon (11.00%)
Orthos Prime Handle,Uncommon (25.33%)
Braton Prime Stock,Uncommon (25.33%)
Chroma Prime Blueprint,Uncommon (25.33%)
,
Axi A6 Relic (Exceptional),Axi A6 Relic (Exceptional)
Atlas Prime Neuroptics Blueprint,Rare (4.00%)
Zhuge Prime Blueprint,Uncommon (13.00%)
Tipedo Prime Ornament,Uncommon (13.00%)
Orthos Prime Handle,Uncommon (23.33%)
Braton Prime Stock,Uncommon (23.33%)
Chroma Prime Blueprint,Uncommon (23.33%)
,
Axi A6 Relic (Flawless),Axi A6 Relic (Flawless)
Atlas Prime Neuroptics Blueprint,Rare (6.00%)
Zhuge Prime Blueprint,Uncommon (17.00%)
Tipedo Prime Ornament,Uncommon (17.00%)
Orthos Prime Handle,Uncommon (20.00%)
Braton Prime Stock,Uncommon (20.00%)
Chroma Prime Blueprint,Uncommon (20.00%)
,
Axi A6 Relic (Radiant),Axi A6 Relic (Radiant)
Atlas Prime Neuroptics Blueprint,Uncommon (10.00%)
Zhuge Prime Blueprint,Uncommon (20.00%)
Tipedo Prime Ornament,Uncommon (20.00%)
Orthos Prime Handle,Uncommon (16.67%)
Braton Prime Stock,Uncommon (16.67%)
Chroma Prime Blueprint,Uncommon (16.67%)
,
Axi A7 Relic (Intact),Axi A7 Relic (Intact)
Ash Prime Systems Blueprint,Rare (2.00%)
Fragor Prime Blueprint,Uncommon (11.00%)
Forma Blueprint,Uncommon (11.00%)
Carrier Prime Systems,Uncommon (25.33%)
Braton Prime Blueprint,Uncommon (25.33%)
Akstiletto Prime Receiver,Uncommon (25.33%)
,
Axi A7 Relic (Exceptional),Axi A7 Relic (Exceptional)
Ash Prime Systems Blueprint,Rare (4.00%)
Fragor Prime Blueprint,Uncommon (13.00%)
Forma Blueprint,Uncommon (13.00%)
Carrier Prime Systems,Uncommon (23.33%)
Braton Prime Blueprint,Uncommon (23.33%)
Akstiletto Prime Receiver,Uncommon (23.33%)
,
Axi A7 Relic (Flawless),Axi A7 Relic (Flawless)
Ash Prime Systems Blueprint,Rare (6.00%)
Fragor Prime Blueprint,Uncommon (17.00%)
Forma Blueprint,Uncommon (17.00%)
Carrier Prime Systems,Uncommon (20.00%)
Braton Prime Blueprint,Uncommon (20.00%)
Akstiletto Prime Receiver,Uncommon (20.00%)
,
Axi A7 Relic (Radiant),Axi A7 Relic (Radiant)
Ash Prime Systems Blueprint,Uncommon (10.00%)
Fragor Prime Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Carrier Prime Systems,Uncommon (16.67%)
Braton Prime Blueprint,Uncommon (16.67%)
Akstiletto Prime Receiver,Uncommon (16.67%)
,
Axi A8 Relic (Intact),Axi A8 Relic (Intact)
Aksomati Prime Link,Rare (2.00%)
Gram Prime Blueprint,Uncommon (11.00%)
Forma Blueprint,Uncommon (11.00%)
Pyrana Prime Barrel,Uncommon (25.33%)
Braton Prime Stock,Uncommon (25.33%)
Equinox Prime Chassis Blueprint,Uncommon (25.33%)
,
Axi A8 Relic (Exceptional),Axi A8 Relic (Exceptional)
Aksomati Prime Link,Rare (4.00%)
Gram Prime Blueprint,Uncommon (13.00%)
Forma Blueprint,Uncommon (13.00%)
Pyrana Prime Barrel,Uncommon (23.33%)
Braton Prime Stock,Uncommon (23.33%)
Equinox Prime Chassis Blueprint,Uncommon (23.33%)
,
Axi A8 Relic (Flawless),Axi A8 Relic (Flawless)
Aksomati Prime Link,Rare (6.00%)
Gram Prime Blueprint,Uncommon (17.00%)
Forma Blueprint,Uncommon (17.00%)
Pyrana Prime Barrel,Uncommon (20.00%)
Braton Prime Stock,Uncommon (20.00%)
Equinox Prime Chassis Blueprint,Uncommon (20.00%)
,
Axi A8 Relic (Radiant),Axi A8 Relic (Radiant)
Aksomati Prime Link,Uncommon (10.00%)
Gram Prime Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Pyrana Prime Barrel,Uncommon (16.67%)
Braton Prime Stock,Uncommon (16.67%)
Equinox Prime Chassis Blueprint,Uncommon (16.67%)
,
Axi A9 Relic (Intact),Axi A9 Relic (Intact)
Atlas Prime Neuroptics Blueprint,Rare (2.00%)
Ivara Prime Systems Blueprint,Uncommon (11.00%)
Akbronco Prime Link,Uncommon (11.00%)
Lex Prime Blueprint,Uncommon (25.33%)
Rubico Prime Stock,Uncommon (25.33%)
Gram Prime Blade,Uncommon (25.33%)
,
Axi A9 Relic (Exceptional),Axi A9 Relic (Exceptional)
Atlas Prime Neuroptics Blueprint,Rare (4.00%)
Ivara Prime Systems Blueprint,Uncommon (13.00%)
Akbronco Prime Link,Uncommon (13.00%)
Lex Prime Blueprint,Uncommon (23.33%)
Rubico Prime Stock,Uncommon (23.33%)
Gram Prime Blade,Uncommon (23.33%)
,
Axi A9 Relic (Flawless),Axi A9 Relic (Flawless)
Atlas Prime Neuroptics Blueprint,Rare (6.00%)
Ivara Prime Systems Blueprint,Uncommon (17.00%)
Akbronco Prime Link,Uncommon (17.00%)
Lex Prime Blueprint,Uncommon (20.00%)
Rubico Prime Stock,Uncommon (20.00%)
Gram Prime Blade,Uncommon (20.00%)
,
Axi A9 Relic (Radiant),Axi A9 Relic (Radiant)
Atlas Prime Neuroptics Blueprint,Uncommon (10.00%)
Ivara Prime Systems Blueprint,Uncommon (20.00%)
Akbronco Prime Link,Uncommon (20.00%)
Lex Prime Blueprint,Uncommon (16.67%)
Rubico Prime Stock,Uncommon (16.67%)
Gram Prime Blade,Uncommon (16.67%)
,
Axi B1 Relic (Intact),Axi B1 Relic (Intact)
Banshee Prime Systems Blueprint,Rare (2.00%)
Cernos Prime Blueprint,Uncommon (11.00%)
Kavasa Prime Buckle,Uncommon (11.00%)
Euphona Prime Blueprint,Uncommon (25.33%)
Ash Prime Chassis Blueprint,Uncommon (25.33%)
Fang Prime Blade,Uncommon (25.33%)
,
Axi B1 Relic (Exceptional),Axi B1 Relic (Exceptional)
Banshee Prime Systems Blueprint,Rare (4.00%)
Cernos Prime Blueprint,Uncommon (13.00%)
Kavasa Prime Buckle,Uncommon (13.00%)
Euphona Prime Blueprint,Uncommon (23.33%)
Ash Prime Chassis Blueprint,Uncommon (23.33%)
Fang Prime Blade,Uncommon (23.33%)
,
Axi B1 Relic (Flawless),Axi B1 Relic (Flawless)
Banshee Prime Systems Blueprint,Rare (6.00%)
Cernos Prime Blueprint,Uncommon (17.00%)
Kavasa Prime Buckle,Uncommon (17.00%)
Euphona Prime Blueprint,Uncommon (20.00%)
Ash Prime Chassis Blueprint,Uncommon (20.00%)
Fang Prime Blade,Uncommon (20.00%)
,
Axi B1 Relic (Radiant),Axi B1 Relic (Radiant)
Banshee Prime Systems Blueprint,Uncommon (10.00%)
Cernos Prime Blueprint,Uncommon (20.00%)
Kavasa Prime Buckle,Uncommon (20.00%)
Euphona Prime Blueprint,Uncommon (16.67%)
Ash Prime Chassis Blueprint,Uncommon (16.67%)
Fang Prime Blade,Uncommon (16.67%)
,
Axi B2 Relic (Intact),Axi B2 Relic (Intact)
Banshee Prime Systems Blueprint,Rare (2.00%)
Forma Blueprint,Uncommon (11.00%)
Orthos Prime Blueprint,Uncommon (11.00%)
Fragor Prime Head,Uncommon (25.33%)
Sybaris Prime Blueprint,Uncommon (25.33%)
Fang Prime Blade,Uncommon (25.33%)
,
Axi B2 Relic (Exceptional),Axi B2 Relic (Exceptional)
Banshee Prime Systems Blueprint,Rare (4.00%)
Forma Blueprint,Uncommon (13.00%)
Orthos Prime Blueprint,Uncommon (13.00%)
Fragor Prime Head,Uncommon (23.33%)
Sybaris Prime Blueprint,Uncommon (23.33%)
Fang Prime Blade,Uncommon (23.33%)
,
Axi B2 Relic (Flawless),Axi B2 Relic (Flawless)
Banshee Prime Systems Blueprint,Rare (6.00%)
Forma Blueprint,Uncommon (17.00%)
Orthos Prime Blueprint,Uncommon (17.00%)
Fragor Prime Head,Uncommon (20.00%)
Sybaris Prime Blueprint,Uncommon (20.00%)
Fang Prime Blade,Uncommon (20.00%)
,
Axi B2 Relic (Radiant),Axi B2 Relic (Radiant)
Banshee Prime Systems Blueprint,Uncommon (10.00%)
Forma Blueprint,Uncommon (20.00%)
Orthos Prime Blueprint,Uncommon (20.00%)
Fragor Prime Head,Uncommon (16.67%)
Sybaris Prime Blueprint,Uncommon (16.67%)
Fang Prime Blade,Uncommon (16.67%)
,
Axi B3 Relic (Intact),Axi B3 Relic (Intact)
Baza Prime Stock,Rare (2.00%)
Zhuge Prime Receiver,Uncommon (11.00%)
Atlas Prime Chassis Blueprint,Uncommon (11.00%)
Paris Prime Lower Limb,Uncommon (25.33%)
Stradavar Prime Stock,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
,
Axi B3 Relic (Exceptional),Axi B3 Relic (Exceptional)
Baza Prime Stock,Rare (4.00%)
Zhuge Prime Receiver,Uncommon (13.00%)
Atlas Prime Chassis Blueprint,Uncommon (13.00%)
Paris Prime Lower Limb,Uncommon (23.33%)
Stradavar Prime Stock,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
,
Axi B3 Relic (Flawless),Axi B3 Relic (Flawless)
Baza Prime Stock,Rare (6.00%)
Zhuge Prime Receiver,Uncommon (17.00%)
