,Lephantis Sigil,Very Common (100.00%)
,,
Ancient Infested,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Lephantis Sigil,Very Common (100.00%)
,,
Infested Grineer,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Lephantis Sigil,Very Common (100.00%)
,,
Commander,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Sargas Ruk Sigil,Very Common (100.00%)
,,
Hunhow,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Stalker Sigil,Very Common (100.00%)
,,
Hyena Th,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Hyena Sigil,Very Common (100.00%)
,,
Hyena Ng,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Hyena Sigil,Very Common (100.00%)
,,
Hyena Pb,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Hyena Sigil,Very Common (100.00%)
,,
Hyena Ln2,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Hyena Sigil,Very Common (100.00%)
,,
Mutalist Alad V,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Alad V Sigil,Very Common (100.00%)
,,
Kela De Thaym,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Kela De Thaym Sigil,Very Common (100.00%)
,,
Lt Lech Kril,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Lech Kril Sigil,Very Common (100.00%)
,,
Phorid,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Phorid Sigil,Very Common (100.00%)
,,
Hyena Pack,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Hyena Sigil,Very Common (100.00%)
,,
Jackal,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Jackal Sigil,Very Common (100.00%)
,,
Raptor,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Raptor Sigil,Very Common (100.00%)
,,
Raptor,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Raptor Sigil,Very Common (100.00%)
,,
Raptor Mt,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Raptor Sigil,Very Common (100.00%)
,,
Raptor Rv,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Raptor Sigil,Very Common (100.00%)
,,
Raptor Ns,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Raptor Sigil,Very Common (100.00%)
,,
General Sargas Ruk,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Sargas Ruk Sigil,Very Common (100.00%)
,,
Stalker,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Stalker Sigil,Very Common (100.00%)
,,
Shadow Stalker,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Stalker Sigil,Very Common (100.00%)
,,
Tyl Regor,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Tyl Regor Sigil,Very Common (100.00%)
,,
Councilor Vay Hek,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Vay Hek Sigil,Very Common (100.00%)
,,
Vay Hek Terra Frame,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Vay Hek Sigil,Very Common (100.00%)
,,
Corrupted Vor,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Vor Sigil,Very Common (100.00%)
,,
Corrupted Vor,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Vor Sigil,Very Common (100.00%)
,,
Zanuka Hunter,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Zanuka Sigil,Very Common (100.00%)
,,
Deimos Leaping Thrasher,Sigil Drop Chance: 5.00%,Sigil Drop Chance: 5.00%
,Leaping Thrasher Sigil,Very Common (100.00%)
,,
Deimos Saxum Rex,Sigil Drop Chance: 5.00%,Sigil Drop Chance: 5.00%
,Leaping Thrasher Sigil,Very Common (100.00%)
,,
Deimos Saxum,Sigil Drop Chance: 5.00%,Sigil Drop Chance: 5.00%
,Leaping Thrasher Sigil,Very Common (100.00%)
,,
Deimos Saxum,Sigil Drop Chance: 5.00%,Sigil Drop Chance: 5.00%
,Leaping Thrasher Sigil,Very Common (100.00%)
,,
Narmer Thumper Doma,Sigil Drop Chance: 200.00%,Sigil Drop Chance: 200.00%
,Maprico,Uncommon (25.00%)
,Sentirum,Uncommon (25.00%)
,Nyth,Uncommon (25.00%)
,Seram Beetle Shell,Uncommon (25.00%)
,,
Narmer Thumper Bull,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Maprico,Uncommon (25.00%)
,Sentirum,Uncommon (25.00%)
,Nyth,Uncommon (25.00%)
,Seram Beetle Shell,Uncommon (25.00%)
,,
Profit-Taker,Sigil Drop Chance: 3.00%,Sigil Drop Chance: 3.00%
,Bloodshed Sigil,Very Common (100.00%)
,,
Exploiter Orb,Sigil Drop Chance: 300.00%,Sigil Drop Chance: 300.00%
,Synathid Ecosynth Analyzer,Uncommon (16.67%)
,Tromyzon Entroplasma,Uncommon (16.67%)
,Charamote Sagan Module,Uncommon (16.67%)
,Zodian,Uncommon (16.67%)
,Thyst,Uncommon (16.67%)
,Longwinder Lathe Coagulant,Uncommon (16.67%)
,,
