Target Acquired,Target Acquired,Target Acquired
Dargyn Pilot,3.00%,Legendary (0.67%)
Orphid Specter,100.00%,Uncommon (10.53%)
Elite Lancer,3.00%,Legendary (0.67%)
Kuva Elite Lancer,3.00%,Legendary (0.67%)
Draga,3.00%,Legendary (0.67%)
Elite Arid Lancer,3.00%,Legendary (0.67%)
Elite Frontier Lancer,3.00%,Legendary (0.67%)
Darek Draga,3.00%,Legendary (0.67%)
Shock Draga,3.00%,Legendary (0.67%)
Narmer Elite Lancer,3.00%,Legendary (0.67%)
,,
Arcane Resistance,Arcane Resistance,Arcane Resistance
Source,Mod Drop Chance,Chance
Eidolon Teralyst (Special),100.00%,Rare (6.02%)
Eidolon Teralyst,100.00%,Rare (6.78%)
,,
Arcane Fury,Arcane Fury,Arcane Fury
Source,Mod Drop Chance,Chance
Eidolon Hydrolyst (Special),100.00%,Uncommon (11.24%)
Eidolon Hydrolyst,100.00%,Uncommon (13.76%)
,,
Fatal Acceleration,Fatal Acceleration,Fatal Acceleration
Source,Mod Drop Chance,Chance
Eidolon Teralyst,100.00%,Uncommon (22.22%)
Leaper,3.00%,Uncommon (11.06%)
Deimos Leaper,3.00%,Uncommon (11.06%)
,,
Bleeding Edge,Bleeding Edge,Bleeding Edge
Source,Mod Drop Chance,Chance
Vapos Aquila,20.00%,Common (37.94%)
Tusk Shield Dargyn,3.00%,Uncommon (25.29%)
Tusk Dargyn,3.00%,Uncommon (25.29%)
Cannon Battery,3.00%,Uncommon (25.81%)
Shield-Hellion Dargyn,20.00%,Common (37.94%)
Dargyn,3.00%,Uncommon (25.29%)
Turret,3.00%,Uncommon (25.81%)
Comet Shard,20.00%,Common (37.94%)
Exo Eviscerator,5.00%,Common (37.94%)
Exo Supressor,5.00%,Common (37.94%)
Kosma Eviscerator,5.00%,Common (37.94%)
Kosma Supressor,5.00%,Common (37.94%)
,,
Hit And Run,Hit And Run,Hit And Run
Source,Mod Drop Chance,Chance
Hyena Th,60.00%,Uncommon (11.28%)
Hyena Ng,60.00%,Uncommon (11.28%)
Hyena Pb,60.00%,Uncommon (11.28%)
Hyena Ln2,60.00%,Uncommon (11.28%)
Hyena Pack,60.00%,Uncommon (11.28%)
,,
Melee Prowess,Melee Prowess,Melee Prowess
Source,Mod Drop Chance,Chance
Vapos Tech Ranger,10.00%,Uncommon (25.29%)
Vapos Elite Ranger,10.00%,Uncommon (25.29%)
Vapos Nullifier Ranger,10.00%,Uncommon (25.29%)
Vapos Detron Ranger,10.00%,Uncommon (25.29%)
Vapos Sniper Ranger,10.00%,Uncommon (25.29%)
Vapos Detron Crewman,3.00%,Uncommon (25.81%)
Vapos Oxium Osprey,3.00%,Uncommon (25.29%)
Taro Ranger Crewman,10.00%,Uncommon (25.29%)
Taro Zerca,3.00%,Uncommon (25.81%)
Taro Vambac,3.00%,Uncommon (25.81%)
Taro Numon,3.00%,Uncommon (25.81%)
Taro Detron Crewman,3.00%,Uncommon (25.81%)
Aurax Actinic,3.00%,Uncommon (25.81%)
Aurax Vertec,3.00%,Uncommon (25.81%)
Orm Zerca,3.00%,Uncommon (25.81%)
Orm Vambac,3.00%,Uncommon (25.81%)
Orm Numon,3.00%,Uncommon (25.81%)
Orm Ranger Crewman,10.00%,Uncommon (25.29%)
Orm Detron Crewman,3.00%,Uncommon (25.81%)
Taro Secura Osprey,3.00%,Uncommon (25.29%)
Axio Zerca,3.00%,Uncommon (25.81%)
Axio Vambac,3.00%,Uncommon (25.81%)
Axio Numon,3.00%,Uncommon (25.81%)
Axio Ranger Crewman,10.00%,Uncommon (25.29%)
Axio Detron Crewman,3.00%,Uncommon (25.81%)
Vorac Zerca,3.00%,Uncommon (25.81%)
Vorac Vambac,3.00%,Uncommon (25.81%)
Vorac Numon,3.00%,Uncommon (25.81%)
Vorac Ranger Crewman,10.00%,Uncommon (25.29%)
Vorac Detron Crewman,3.00%,Uncommon (25.81%)
Tusk Eviscerator,3.00%,Uncommon (18.97%)
Tusk Trooper,3.00%,Uncommon (18.97%)
Juno Oxium Osprey,3.00%,Uncommon (25.29%)
Attack Drone,3.00%,Uncommon (25.29%)
Remech Osprey,3.00%,Uncommon (25.29%)
Nemes,3.00%,Uncommon (25.29%)
Eviscerator,3.00%,Uncommon (18.97%)
Kuva Eviscerator,3.00%,Uncommon (18.97%)
Kuva Trooper,3.00%,Uncommon (18.97%)
Carabus,3.00%,Uncommon (25.29%)
Arid Eviscerator,3.00%,Uncommon (18.97%)
Frontier Eviscerator,3.00%,Uncommon (18.97%)
Trooper,3.00%,Uncommon (18.97%)
Commander,100.00%,Common (37.94%)
Frontier Regulator,3.00%,Uncommon (25.29%)
Regulator,3.00%,Uncommon (25.29%)
Arid Trooper,3.00%,Uncommon (18.97%)
Frontier Trooper,3.00%,Uncommon (18.97%)
General Sargas Ruk,100.00%,Common (37.94%)
Drekar Eviscerator,3.00%,Uncommon (18.97%)
Drekar Heavy Gunner,3.00%,Common (38.72%)
Drekar Trooper,3.00%,Uncommon (18.97%)
Sensor Regulator,3.00%,Uncommon (25.29%)
Detron Crewman,3.00%,Uncommon (25.81%)
Oxium Osprey,3.00%,Uncommon (25.29%)
Rathuum Broadcaster,3.00%,Uncommon (25.29%)
Trooper Survivor,3.00%,Uncommon (18.97%)
Narmer Observation Drone,3.00%,Uncommon (25.29%)
Narmer Detron Crewman,3.00%,Uncommon (25.81%)
Narmer Elite Ranger,10.00%,Uncommon (25.29%)
Narmer Jailer,10.00%,Uncommon (25.29%)
Narmer Nullifier Ranger,10.00%,Uncommon (25.29%)
Narmer Detron Ranger,10.00%,Uncommon (25.29%)
Narmer Sniper Ranger,10.00%,Uncommon (25.29%)
Narmer Oxium Osprey,3.00%,Uncommon (25.29%)
Narmer Tech Ranger,10.00%,Uncommon (25.29%)
Narmer Crewman,3.00%,Uncommon (25.81%)
Narmer Regulator,3.00%,Uncommon (25.29%)
Narmer Trooper,3.00%,Uncommon (18.97%)
Observation Drone,3.00%,Uncommon (25.29%)
Terra Manker,10.00%,Uncommon (25.29%)
Terra Manker,20.00%,Uncommon (25.29%)
Terra Attack Drone,5.00%,Uncommon (25.29%)
Terra Attack Drone,20.00%,Uncommon (25.29%)
Terra Elite Provisor,10.00%,Uncommon (25.29%)
Terra Provisor,10.00%,Uncommon (25.29%)
Terra Provisor,20.00%,Uncommon (25.29%)
Terra Elite Overtaker,10.00%,Uncommon (25.29%)
Terra Overtaker,10.00%,Uncommon (25.29%)
Terra Overtaker,20.00%,Uncommon (25.29%)
Terra Jailer,10.00%,Uncommon (25.29%)
Terra Cestra Manker,10.00%,Uncommon (25.29%)
Terra Elite Trencher,10.00%,Uncommon (25.29%)
Terra Nullifier Crewman,10.00%,Uncommon (25.29%)
Terra Shield Osprey,5.00%,Uncommon (25.29%)
Terra Shield Osprey,20.00%,Uncommon (25.29%)
Terra Trencher,10.00%,Uncommon (25.29%)
Terra Trencher,20.00%,Uncommon (25.29%)
Terra Oxium Osprey,5.00%,Uncommon (25.29%)
Terra Turret Osprey,3.00%,Uncommon (25.29%)
Terra Turret Osprey,5.00%,Uncommon (25.29%)
Primm,5.00%,Uncommon (25.29%)
Verd-Ie,5.00%,Uncommon (25.29%)
,,
Munitions Vortex,Munitions Vortex,Munitions Vortex
Source,Mod Drop Chance,Chance
Elite Taro Basilisk,15.00%,Uncommon (12.32%)
Elite Orm Harpi,15.00%,Uncommon (12.32%)
Orm Harpi,15.00%,Rare (7.37%)
Elite Axio Basilisk,15.00%,Rare (9.24%)
Axio Basilisk,15.00%,Rare (5.53%)
Elite Vorac Basilisk,15.00%,Uncommon (15.10%)
Vorac Basilisk,15.00%,Uncommon (11.06%)
Elite Exo Taktis,15.00%,Common (36.97%)
Exo Taktis,15.00%,Uncommon (22.11%)
Elite Gyre Flak,15.00%,Uncommon (18.49%)
Gyre Flak,15.00%,Uncommon (11.06%)
,,
Furor,Furor,Furor
Source,Mod Drop Chance,Chance
Corvette,3.00%,Rare (5.64%)
Gox,3.00%,Rare (5.64%)
Carrier,5.00%,Rare (7.37%)
Shield Dargyn,3.00%,Rare (5.64%)
Kosma Butcher,5.00%,Rare (5.04%)
Exo Butcher,5.00%,Rare (5.04%)
Exo Elite Lancer,5.00%,Rare (5.04%)
Kosma Elite Lancer,5.00%,Rare (5.04%)
Gyre Butcher,5.00%,Legendary (0.88%)
Gyre Elite Lancer,5.00%,Legendary (0.88%)
Exo Roller Sentry,5.00%,Rare (5.04%)
Kosma Roller Sentry,5.00%,Rare (5.04%)
,,
Infected Clip,Infected Clip,Infected Clip
Source,Mod Drop Chance,Chance
Vapos Elite Crewman,3.00%,Rare (5.53%)
Vapos Tech Ranger,10.00%,Rare (4.42%)
Vapos Elite Ranger,10.00%,Rare (4.42%)
Vapos Nullifier Ranger,10.00%,Rare (4.42%)
Vapos Detron Ranger,10.00%,Rare (4.42%)
Vapos Sniper Ranger,10.00%,Rare (4.42%)
Vapos Detron Crewman,3.00%,Rare (5.64%)
Taro Ranger Crewman,10.00%,Rare (4.42%)
Taro Zerca,3.00%,Rare (5.64%)
Taro Vambac,3.00%,Rare (5.64%)
Taro Numon,3.00%,Rare (5.64%)
Taro Elite Crewman,3.00%,Rare (5.53%)
Taro Detron Crewman,3.00%,Rare (5.64%)
Aurax Actinic,3.00%,Rare (5.64%)
Aurax Vertec,3.00%,Rare (5.64%)
Orm Zerca,3.00%,Rare (5.64%)
Orm Vambac,3.00%,Rare (5.64%)
Orm Numon,3.00%,Rare (5.64%)
Orm Ranger Crewman,10.00%,Rare (4.42%)
Orm Elite Crewman,3.00%,Rare (5.53%)
Orm Detron Crewman,3.00%,Rare (5.64%)
Axio Zerca,3.00%,Rare (5.64%)
Axio Vambac,3.00%,Rare (5.64%)
Axio Numon,3.00%,Rare (5.64%)
Axio Ranger Crewman,10.00%,Rare (4.42%)
Axio Elite Crewman,3.00%,Rare (5.53%)
Axio Detron Crewman,3.00%,Rare (5.64%)
Vorac Zerca,3.00%,Rare (5.64%)
Vorac Vambac,3.00%,Rare (5.64%)
Vorac Numon,3.00%,Rare (5.64%)
Vorac Ranger Crewman,10.00%,Rare (4.42%)
Vorac Elite Crewman,3.00%,Rare (5.53%)
Vorac Detron Crewman,3.00%,Rare (5.64%)
Machinist,3.00%,Rare (5.53%)
Corrupted Lancer,3.00%,Rare (5.53%)
Corpus Power Carrier,5.00%,Rare (4.66%)
Elite Crewman,3.00%,Rare (5.53%)
Nul Comba,5.00%,Rare (4.42%)
Sap Comba,5.00%,Rare (4.42%)
Slo Comba,5.00%,Rare (4.42%)
Fog Comba,5.00%,Rare (4.42%)
Corrupted Butcher,3.00%,Rare (5.53%)
Detron Crewman,3.00%,Rare (5.64%)
Narmer Detron Crewman,3.00%,Rare (5.64%)
Narmer Elite Ranger,10.00%,Rare (4.42%)
Narmer Jailer,10.00%,Rare (4.42%)
Narmer Nullifier Ranger,10.00%,Rare (4.42%)
Narmer Detron Ranger,10.00%,Rare (4.42%)
Narmer Sniper Ranger,10.00%,Rare (4.42%)
Narmer Tech Ranger,10.00%,Rare (4.42%)
Narmer Crewman,3.00%,Rare (5.64%)
Narmer Elite Crewman,3.00%,Rare (5.53%)
Narmer Machinist,3.00%,Rare (5.53%)
Terra Manker,10.00%,Rare (4.42%)
Terra Manker,20.00%,Rare (4.42%)
Terra Detron Crewman,5.00%,Rare (4.42%)
Terra Research Crewman,5.00%,Rare (4.42%)
Terra Elite Provisor,10.00%,Rare (4.42%)
Terra Provisor,10.00%,Rare (4.42%)
Terra Provisor,20.00%,Rare (4.42%)
Terra Elite Overtaker,10.00%,Rare (4.42%)
Terra Overtaker,10.00%,Rare (4.42%)
Terra Overtaker,20.00%,Rare (4.42%)
Terra Jailer,10.00%,Rare (4.42%)
Terra Cestra Manker,10.00%,Rare (4.42%)
Terra Elite Crewman,5.00%,Rare (4.42%)
Terra Elite Trencher,10.00%,Rare (4.42%)
Terra Nullifier Crewman,10.00%,Rare (4.42%)
Terra Crewman,5.00%,Rare (4.42%)
Terra Crewman,20.00%,Rare (4.42%)
Terra Trencher,10.00%,Rare (4.42%)
Terra Trencher,20.00%,Rare (4.42%)
Terra Plasmor Crewman,5.00%,Rare (4.42%)
Terra Plasmor Crewman,20.00%,Rare (4.42%)
Terra Sniper Crewman,5.00%,Rare (4.42%)
Terra Sniper Crewman,20.00%,Rare (4.42%)
Orb Vallis - Temple of Profit Enemies,5.00%,Rare (3.69%)
,,
Overloader,Overloader,Overloader
Source,Mod Drop Chance,Chance
Cannon Battery,15.00%,Uncommon (25.29%)
Elite Taro Harpi,15.00%,Common (47.48%)
Taro Harpi,15.00%,Uncommon (25.29%)
Elite Vorac Basilisk,15.00%,Common (34.55%)
Vorac Basilisk,15.00%,Uncommon (25.29%)
Elite Kosma Taktis,15.00%,Common (34.55%)
Kosma Taktis,15.00%,Uncommon (25.29%)
Ionyx,15.00%,Very Common (88.57%)
,,
Piercing Step,Piercing Step,Piercing Step
Source,Mod Drop Chance,Chance
Drekar Heavy Gunner,3.00%,Uncommon (11.28%)
,,
Savagery,Savagery,Savagery
Source,Mod Drop Chance,Chance
Tamm,3.00%,Legendary (0.22%)
Corrupted Drahk,3.00%,Legendary (0.22%)
Kubrow,3.00%,Legendary (0.22%)
Kuva Drahk,3.00%,Legendary (0.22%)
Drahk,3.00%,Legendary (0.22%)
,,
Energy Nexus,Energy Nexus,Energy Nexus
Source,Mod Drop Chance,Chance
The Anatomizer,3.00%,Uncommon (10.20%)
Rogue Bonewidow,3.00%,Common (33.33%)
Rogue Voidrig,3.00%,Common (33.33%)
The Fragmented Suzerain,3.00%,Uncommon (20.20%)
,,
Quick Reload,Quick Reload,Quick Reload
Source,Mod Drop Chance,Chance
Gyre Raider,5.00%,Rare (5.53%)
Gyre Raider Carver,5.00%,Rare (5.53%)
Gyre Raider Eviscerator,5.00%,Rare (5.53%)
Exo Eviscerator,5.00%,Rare (5.53%)
Exo Supressor,5.00%,Rare (5.53%)
,,
Reflex Guard,Reflex Guard,Reflex Guard
Source,Mod Drop Chance,Chance
Corrupted Moa,3.00%,Ultra Rare (1.01%)
,,
Tek Gravity,Tek Gravity,Tek Gravity
Source,Mod Drop Chance,Chance
Corpus Cestra Target,20.00%,Uncommon (25.00%)
,,
Secondary Merciless,Secondary Merciless,Secondary Merciless
Source,Mod Drop Chance,Chance
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Misery (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Angst (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Torment (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Violence (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Malice (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
Mania (Level 0 - 100),100.00%,Uncommon (16.67%)
,,
Indomitable Matrix,Indomitable Matrix,Indomitable Matrix
Source,Mod Drop Chance,Chance
Elite Orm Weaver,15.00%,Very Common (78.57%)
Orm Weaver,15.00%,Common (45.83%)
Axio Gox,15.00%,Rare (3.46%)
Elite Vorac Weaver,15.00%,Rare (5.82%)
Vorac Weaver,15.00%,Rare (5.53%)
Elite Exo Outrider,15.00%,Rare (6.35%)
Exo Outrider,15.00%,Rare (6.35%)
Elite Kosma Outrider,15.00%,Rare (3.16%)
Kosma Outrider,15.00%,Rare (3.16%)
Elite Gyre Outrider,15.00%,Rare (4.10%)
Gyre Outrider,15.00%,Rare (4.10%)
,,
Melee Animosity,Melee Animosity,Melee Animosity
Source,Mod Drop Chance,Chance
Mocking Whisper,50.00%,Uncommon (12.50%)
Scathing Whisper,50.00%,Uncommon (12.50%)
,,
Enhanced Vitality,Enhanced Vitality,Enhanced Vitality
Source,Mod Drop Chance,Chance
Vapos Anti Moa,3.00%,Common (38.72%)
Vapos Fusion Moa,3.00%,Uncommon (18.97%)
Taro Disc Moa,3.00%,Common (38.72%)
Orm Disc Moa,3.00%,Common (38.72%)
Axio Disc Moa,3.00%,Common (38.72%)
Vorac Disc Moa,3.00%,Common (38.72%)
Tusk Napalm,3.00%,Uncommon (25.29%)
Tusk Roller,3.00%,Uncommon (18.97%)
Nervo,3.00%,Uncommon (18.97%)
Kuva Napalm,3.00%,Uncommon (25.29%)
Kuva Roller,3.00%,Uncommon (18.97%)
Fusion Moa,3.00%,Uncommon (18.97%)
Napalm,3.00%,Uncommon (25.29%)
Roller,3.00%,Uncommon (18.97%)
Roller Sentry,3.00%,Uncommon (18.97%)
Anti Moa,3.00%,Common (38.72%)
Latcher,3.00%,Uncommon (18.97%)
Narmer Napalm,3.00%,Uncommon (25.29%)
,,
Modified Munitions,Modified Munitions,Modified Munitions
Source,Mod Drop Chance,Chance
Tusk Shield Dargyn,3.00%,Rare (7.37%)
Tusk Dargyn,3.00%,Rare (7.37%)
Cannon Battery,3.00%,Uncommon (11.28%)
Zeplen,3.00%,Rare (7.52%)
Dargyn,3.00%,Rare (7.37%)
Turret,3.00%,Uncommon (11.28%)
,,
Stand United,Stand United,Stand United
Source,Mod Drop Chance,Chance
Orphid Specter,100.00%,Uncommon (29.82%)
,,
Vigilante Armaments,Vigilante Armaments,Vigilante Armaments
Source,Mod Drop Chance,Chance
Plains Commander,100.00%,Common (37.94%)
,,
Split Chamber,Split Chamber,Split Chamber
Source,Mod Drop Chance,Chance
Vem Tabook,25.00%,Uncommon (20.00%)
Leekter,50.00%,Uncommon (20.00%)
Shik Tal,50.00%,Uncommon (20.00%)
Vapos Sapping Osprey,3.00%,Legendary (0.67%)
Aurax Atloc Raknoid,10.00%,Ultra Rare (1.01%)
Terra Jackal,20.00%,Ultra Rare (1.01%)
Sapping Osprey,3.00%,Legendary (0.67%)
Commander,100.00%,Ultra Rare (1.01%)
Leech Osprey,3.00%,Legendary (0.67%)
Jackal,20.00%,Ultra Rare (1.01%)
Raptor,100.00%,Rare (2.01%)
Raptor,5.00%,Rare (2.01%)
Raptor Mt,5.00%,Rare (2.01%)
Raptor Rv,5.00%,Rare (2.01%)
Raptor Ns,5.00%,Rare (2.01%)
General Sargas Ruk,100.00%,Ultra Rare (1.01%)
Narmer Mite,10.00%,Ultra Rare (1.01%)
Narmer Leech Osprey,3.00%,Legendary (0.67%)
Narmer Mine Osprey,3.00%,Legendary (0.67%)
Narmer Sapping Osprey,3.00%,Legendary (0.67%)
Narmer Raknoid,10.00%,Ultra Rare (1.01%)
Scyto Raknoid,10.00%,Ultra Rare (1.01%)
Mite Raknoid,10.00%,Ultra Rare (1.01%)
Terra Ambulas,20.00%,Ultra Rare (1.01%)
Terra Raptor Sx,20.00%,Ultra Rare (1.01%)
Terra Elite Raptor Sx,20.00%,Ultra Rare (1.01%)
