Mercury/Apollodorus (Survival),Mercury/Apollodorus (Survival)
Lith N14 Relic,Uncommon (10.00%)
Lith W3 Relic,Uncommon (10.00%)
Lith G8 Relic,Uncommon (10.00%)
Lith T10 Relic,Uncommon (10.00%)
Lith R4 Relic,Uncommon (10.00%)
Lith H9 Relic,Uncommon (10.00%)
Lith C10 Relic,Uncommon (10.00%)
Rotation B,Rotation B
Speed Trigger,Rare (5.88%)
Fast Deflection,Rare (5.88%)
Rush,Rare (5.88%)
Target Cracker,Rare (5.88%)
No Return,Rare (5.88%)
Serration,Rare (5.88%)
Hornet Strike,Rare (5.88%)
Reflex Coil,Rare (5.88%)
Deep Freeze,Rare (5.88%)
North Wind,Rare (5.88%)
Meso P14 Relic,Rare (5.88%)
Meso G5 Relic,Rare (5.88%)
Meso M4 Relic,Rare (5.88%)
Meso P13 Relic,Rare (5.88%)
Meso B8 Relic,Rare (5.88%)
Meso W3 Relic,Rare (5.88%)
Meso C9 Relic,Rare (5.88%)
Rotation C,Rotation C
Natural Talent,Rare (2.58%)
Meso P14 Relic,Uncommon (13.92%)
Meso G5 Relic,Uncommon (13.92%)
Meso M4 Relic,Uncommon (13.92%)
Meso P13 Relic,Uncommon (13.92%)
Meso B8 Relic,Uncommon (13.92%)
Meso W3 Relic,Uncommon (13.92%)
Meso C9 Relic,Uncommon (13.92%)
,
Mercury/Suisei (Spy),Mercury/Suisei (Spy)
Rotation A,Rotation A
"1,500 Credits Cache",Uncommon (14.29%)
"1,500 Credits Cache",Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
Reflection,Uncommon (14.29%)
Reflex Guard,Uncommon (14.29%)
Parry,Uncommon (14.29%)
Rotation B,Rotation B
Lith N14 Relic,Uncommon (14.29%)
Lith W3 Relic,Uncommon (14.29%)
Lith G8 Relic,Uncommon (14.29%)
Lith T10 Relic,Uncommon (14.29%)
Lith R4 Relic,Uncommon (14.29%)
Lith H9 Relic,Uncommon (14.29%)
Lith C10 Relic,Uncommon (14.29%)
Rotation C,Rotation C
Master Key,Uncommon (10.00%)
Reflection,Uncommon (10.00%)
Parry,Uncommon (10.00%)
Heavy Impact,Uncommon (10.00%)
Serration,Uncommon (10.00%)
Hornet Strike,Uncommon (10.00%)
Metal Auger,Uncommon (10.00%)
Volcanic Edge,Uncommon (10.00%)
Vicious Frost,Uncommon (10.00%)
Ivara Systems Blueprint,Uncommon (10.00%)
,
Venus/Bifrost Echo (Skirmish),Venus/Bifrost Echo (Skirmish)
100 Endo,Uncommon (12.20%)
150 Endo,Rare (7.32%)
Lavan Engines Mk I,Rare (7.32%)
Lavan Reactor Mk I,Rare (7.32%)
Lavan Shield Array Mk I,Rare (7.32%)
Lavan Plating Mk I,Rare (7.32%)
Vidar Engines Mk I,Rare (7.32%)
Vidar Reactor Mk I,Rare (7.32%)
Vidar Shield Array Mk I,Rare (7.32%)
Vidar Plating Mk I,Rare (7.32%)
Ash Systems Blueprint,Rare (4.88%)
Lith N14 Relic,Rare (2.44%)
Lith W3 Relic,Rare (2.44%)
Lith G8 Relic,Rare (2.44%)
Lith T10 Relic,Rare (2.44%)
Lith R4 Relic,Rare (2.44%)
Lith H9 Relic,Rare (2.44%)
Lith C10 Relic,Rare (2.44%)
,
Venus/Bifrost Echo (Skirmish) Extra,Venus/Bifrost Echo (Skirmish) Extra
200X Cubic Diodes,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Isos,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Aucrux Capacitors,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Venus/Bifrost Echo (Caches),Venus/Bifrost Echo (Caches)
Rotation A,Rotation A
100 Endo,Uncommon (26.09%)
150 Endo,Uncommon (17.39%)
Tether,Rare (8.70%)
Particle Ram,Rare (8.70%)
Shatter Burst,Rare (8.70%)
Lith N14 Relic,Rare (4.35%)
Lith W3 Relic,Rare (4.35%)
Lith G8 Relic,Rare (4.35%)
Lith T10 Relic,Rare (4.35%)
Lith R4 Relic,Rare (4.35%)
Lith H9 Relic,Rare (4.35%)
Lith C10 Relic,Rare (4.35%)
Rotation B,Rotation B
100 Endo,Uncommon (19.35%)
150 Endo,Uncommon (12.90%)
Internal Bleeding,Rare (9.68%)
Hemorrhage,Rare (9.68%)
Votive Onslaught,Rare (9.68%)
Lith C7 Relic,Rare (9.68%)
Meso N11 Relic,Rare (9.68%)
Athodai Blueprint,Rare (6.45%)
Athodai Barrel,Rare (6.45%)
Athodai Receiver,Rare (6.45%)
,
Venus/Beacon Shield Ring (Skirmish),Venus/Beacon Shield Ring (Skirmish)
100 Endo,Uncommon (12.20%)
150 Endo,Rare (7.32%)
Lavan Engines Mk I,Rare (7.32%)
Lavan Reactor Mk I,Rare (7.32%)
Lavan Shield Array Mk I,Rare (7.32%)
Lavan Plating Mk I,Rare (7.32%)
Vidar Engines Mk I,Rare (7.32%)
Vidar Reactor Mk I,Rare (7.32%)
Vidar Shield Array Mk I,Rare (7.32%)
Vidar Plating Mk I,Rare (7.32%)
Ash Systems Blueprint,Rare (4.88%)
Lith N14 Relic,Rare (2.44%)
Lith W3 Relic,Rare (2.44%)
Lith G8 Relic,Rare (2.44%)
Lith T10 Relic,Rare (2.44%)
Lith R4 Relic,Rare (2.44%)
Lith H9 Relic,Rare (2.44%)
Lith C10 Relic,Rare (2.44%)
,
Venus/Beacon Shield Ring (Skirmish) Extra,Venus/Beacon Shield Ring (Skirmish) Extra
200X Cubic Diodes,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Isos,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Aucrux Capacitors,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Venus/Beacon Shield Ring (Caches),Venus/Beacon Shield Ring (Caches)
Rotation A,Rotation A
100 Endo,Uncommon (26.09%)
150 Endo,Uncommon (17.39%)
Tether,Rare (8.70%)
Particle Ram,Rare (8.70%)
Shatter Burst,Rare (8.70%)
Lith N14 Relic,Rare (4.35%)
Lith W3 Relic,Rare (4.35%)
Lith G8 Relic,Rare (4.35%)
Lith T10 Relic,Rare (4.35%)
Lith R4 Relic,Rare (4.35%)
Lith H9 Relic,Rare (4.35%)
Lith C10 Relic,Rare (4.35%)
Rotation B,Rotation B
100 Endo,Uncommon (19.35%)
150 Endo,Uncommon (12.90%)
Internal Bleeding,Rare (9.68%)
Hemorrhage,Rare (9.68%)
Votive Onslaught,Rare (9.68%)
Lith C7 Relic,Rare (9.68%)
Meso N11 Relic,Rare (9.68%)
Athodai Blueprint,Rare (6.45%)
Athodai Barrel,Rare (6.45%)
Athodai Receiver,Rare (6.45%)
,
Venus/Orvin-Haarc (Skirmish),Venus/Orvin-Haarc (Skirmish)
Rotation A,Rotation A
100 Endo,Uncommon (30.00%)
150 Endo,Uncommon (16.67%)
Swift Mercy,Uncommon (16.67%)
Power Drain,Uncommon (10.00%)
Firewall,Uncommon (10.00%)
Malicious Code,Rare (6.67%)
Hard Reset,Rare (6.67%)
Riven Sliver,Rare (3.33%)
Rotation B,Rotation B
400 Endo,Uncommon (30.00%)
Lith N14 Relic,Uncommon (10.00%)
Lith W3 Relic,Uncommon (10.00%)
Lith G8 Relic,Uncommon (10.00%)
Lith T10 Relic,Uncommon (10.00%)
Lith R4 Relic,Uncommon (10.00%)
Lith H9 Relic,Uncommon (10.00%)
Lith C10 Relic,Uncommon (10.00%)
Rotation C,Rotation C
600 Endo,Uncommon (24.00%)
Ivara Systems Blueprint,Uncommon (12.00%)
Lavan Engines Mk I,Rare (8.00%)
Lavan Reactor Mk I,Rare (8.00%)
Lavan Shield Array Mk I,Rare (8.00%)
Lavan Plating Mk I,Rare (8.00%)
Vidar Engines Mk I,Rare (8.00%)
Vidar Reactor Mk I,Rare (8.00%)
Vidar Shield Array Mk I,Rare (8.00%)
Vidar Plating Mk I,Rare (8.00%)
,
Venus/Orvin-Haarc (Skirmish) Extra,Venus/Orvin-Haarc (Skirmish) Extra
200X Cubic Diodes,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Isos,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Aucrux Capacitors,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Venus/Orvin-Haarc (Caches),Venus/Orvin-Haarc (Caches)
Rotation A,Rotation A
100 Endo,Uncommon (26.09%)
150 Endo,Uncommon (17.39%)
Tether,Rare (8.70%)
Particle Ram,Rare (8.70%)
Shatter Burst,Rare (8.70%)
Lith N14 Relic,Rare (4.35%)
Lith W3 Relic,Rare (4.35%)
Lith G8 Relic,Rare (4.35%)
Lith T10 Relic,Rare (4.35%)
Lith R4 Relic,Rare (4.35%)
Lith H9 Relic,Rare (4.35%)
Lith C10 Relic,Rare (4.35%)
Rotation B,Rotation B
100 Endo,Uncommon (19.35%)
150 Endo,Uncommon (12.90%)
Internal Bleeding,Rare (9.68%)
Hemorrhage,Rare (9.68%)
Votive Onslaught,Rare (9.68%)
Lith C7 Relic,Rare (9.68%)
Meso N11 Relic,Rare (9.68%)
Athodai Blueprint,Rare (6.45%)
Athodai Barrel,Rare (6.45%)
Athodai Receiver,Rare (6.45%)
,
Venus/Vesper Strait (Skirmish),Venus/Vesper Strait (Skirmish)
Rotation A,Rotation A
100 Endo,Uncommon (28.57%)
Lavan Engines Mk I,Uncommon (14.29%)
Lavan Reactor Mk I,Uncommon (14.29%)
Lavan Shield Array Mk I,Uncommon (14.29%)
Lavan Plating Mk I,Uncommon (14.29%)
Lith N14 Relic,Rare (4.76%)
Lith W3 Relic,Rare (4.76%)
Lith G8 Relic,Rare (4.76%)
Rotation B,Rotation B
150 Endo,Uncommon (27.27%)
Vidar Engines Mk I,Uncommon (13.64%)
Vidar Reactor Mk I,Uncommon (13.64%)
Vidar Shield Array Mk I,Uncommon (13.64%)
Vidar Plating Mk I,Uncommon (13.64%)
Lith T10 Relic,Rare (4.55%)
Lith R4 Relic,Rare (4.55%)
Lith H9 Relic,Rare (4.55%)
Lith C10 Relic,Rare (4.55%)
Rotation C,Rotation C
Arcane Tempo,Uncommon (10.34%)
Arcane Consequence,Uncommon (10.34%)
Arcane Momentum,Uncommon (10.34%)
Arcane Ice,Uncommon (10.34%)
Arcane Nullifier,Uncommon (10.34%)
Arcane Warmth,Uncommon (10.34%)
Arcane Resistance,Rare (6.90%)
Arcane Victory,Rare (6.90%)
Arcane Strike,Rare (6.90%)
Arcane Acceleration,Rare (6.90%)
Arcane Aegis,Rare (3.45%)
Arcane Precision,Rare (3.45%)
Arcane Pulse,Rare (3.45%)
,
Venus/Vesper Strait (Skirmish) Extra,Venus/Vesper Strait (Skirmish) Extra
200X Cubic Diodes,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Isos,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Aucrux Capacitors,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Venus/Vesper Strait (Caches),Venus/Vesper Strait (Caches)
Rotation A,Rotation A
100 Endo,Uncommon (26.09%)
150 Endo,Uncommon (17.39%)
Tether,Rare (8.70%)
Particle Ram,Rare (8.70%)
Shatter Burst,Rare (8.70%)
Lith N14 Relic,Rare (4.35%)
Lith W3 Relic,Rare (4.35%)
Lith G8 Relic,Rare (4.35%)
Lith T10 Relic,Rare (4.35%)
Lith R4 Relic,Rare (4.35%)
Lith H9 Relic,Rare (4.35%)
Lith C10 Relic,Rare (4.35%)
Rotation B,Rotation B
100 Endo,Uncommon (19.35%)
150 Endo,Uncommon (12.90%)
Internal Bleeding,Rare (9.68%)
Hemorrhage,Rare (9.68%)
Votive Onslaught,Rare (9.68%)
Lith C7 Relic,Rare (9.68%)
Meso N11 Relic,Rare (9.68%)
Athodai Blueprint,Rare (6.45%)
Athodai Barrel,Rare (6.45%)
Athodai Receiver,Rare (6.45%)
,
Venus/Luckless Expanse (Skirmish),Venus/Luckless Expanse (Skirmish)
Rotation A,Rotation A
100 Endo,Uncommon (26.67%)
Lavan Engines Mk I,Uncommon (20.00%)
Lavan Reactor Mk I,Uncommon (20.00%)
Ash Systems Blueprint,Uncommon (13.33%)
Lith N14 Relic,Rare (6.67%)
Lith W3 Relic,Rare (6.67%)
Lith G8 Relic,Rare (6.67%)
Rotation B,Rotation B
100 Endo,Common (35.29%)
Lavan Shield Array Mk I,Uncommon (17.65%)
Vidar Engines Mk I,Uncommon (17.65%)
Lavan Plating Mk I,Uncommon (17.65%)
Lith T10 Relic,Rare (5.88%)
Lith R4 Relic,Rare (5.88%)
Rotation C,Rotation C
150 Endo,Common (37.50%)
Vidar Reactor Mk I,Uncommon (12.50%)
Vidar Shield Array Mk I,Uncommon (12.50%)
Vidar Plating Mk I,Uncommon (12.50%)
Ambassador Blueprint,Uncommon (12.50%)
Lith H9 Relic,Rare (6.25%)
Lith C10 Relic,Rare (6.25%)
,
Venus/Luckless Expanse (Skirmish) Extra,Venus/Luckless Expanse (Skirmish) Extra
200X Cubic Diodes,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Isos,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Aucrux Capacitors,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Venus/Luckless Expanse (Caches),Venus/Luckless Expanse (Caches)
Rotation A,Rotation A
100 Endo,Uncommon (26.09%)
150 Endo,Uncommon (17.39%)
Tether,Rare (8.70%)
Particle Ram,Rare (8.70%)
Shatter Burst,Rare (8.70%)
Lith N14 Relic,Rare (4.35%)
Lith W3 Relic,Rare (4.35%)
Lith G8 Relic,Rare (4.35%)
Lith T10 Relic,Rare (4.35%)
Lith R4 Relic,Rare (4.35%)
Lith H9 Relic,Rare (4.35%)
Lith C10 Relic,Rare (4.35%)
Rotation B,Rotation B
100 Endo,Uncommon (19.35%)
150 Endo,Uncommon (12.90%)
Internal Bleeding,Rare (9.68%)
Hemorrhage,Rare (9.68%)
Votive Onslaught,Rare (9.68%)
Lith C7 Relic,Rare (9.68%)
Meso N11 Relic,Rare (9.68%)
Athodai Blueprint,Rare (6.45%)
Athodai Barrel,Rare (6.45%)
Athodai Receiver,Rare (6.45%)
,
Venus/Falling Glory (Skirmish),Venus/Falling Glory (Skirmish)
Rotation A,Rotation A
100 Endo,Uncommon (26.67%)
Lavan Engines Mk I,Uncommon (20.00%)
Lavan Reactor Mk I,Uncommon (20.00%)
Ash Systems Blueprint,Uncommon (13.33%)
Lith N14 Relic,Rare (6.67%)
Lith W3 Relic,Rare (6.67%)
Lith G8 Relic,Rare (6.67%)
Rotation B,Rotation B
100 Endo,Common (35.29%)
Lavan Shield Array Mk I,Uncommon (17.65%)
Vidar Engines Mk I,Uncommon (17.65%)
Lavan Plating Mk I,Uncommon (17.65%)
Lith T10 Relic,Rare (5.88%)
Lith R4 Relic,Rare (5.88%)
Rotation C,Rotation C
150 Endo,Common (42.11%)
Vidar Reactor Mk I,Uncommon (15.79%)
Vidar Shield Array Mk I,Uncommon (15.79%)
Vidar Plating Mk I,Uncommon (15.79%)
Lith H9 Relic,Rare (5.26%)
Lith C10 Relic,Rare (5.26%)
,
Venus/Falling Glory (Skirmish) Extra,Venus/Falling Glory (Skirmish) Extra
200X Cubic Diodes,Uncommon (28.57%)
200X Titanium,Uncommon (28.57%)
5X Isos,Uncommon (14.29%)
5X Asterite,Uncommon (14.29%)
Aucrux Capacitors,Rare (7.14%)
Nullstones,Rare (7.14%)
,
Venus/Falling Glory (Caches),Venus/Falling Glory (Caches)
Rotation A,Rotation A
100 Endo,Uncommon (26.09%)
150 Endo,Uncommon (17.39%)
Tether,Rare (8.70%)
Particle Ram,Rare (8.70%)
Shatter Burst,Rare (8.70%)
Lith N14 Relic,Rare (4.35%)
Lith W3 Relic,Rare (4.35%)
Lith G8 Relic,Rare (4.35%)
Lith T10 Relic,Rare (4.35%)
Lith R4 Relic,Rare (4.35%)
Lith H9 Relic,Rare (4.35%)
Lith C10 Relic,Rare (4.35%)
Rotation B,Rotation B
100 Endo,Uncommon (19.35%)
150 Endo,Uncommon (12.90%)
Internal Bleeding,Rare (9.68%)
Hemorrhage,Rare (9.68%)
Votive Onslaught,Rare (9.68%)
Lith C7 Relic,Rare (9.68%)
Meso N11 Relic,Rare (9.68%)
Athodai Blueprint,Rare (6.45%)
Athodai Barrel,Rare (6.45%)
Athodai Receiver,Rare (6.45%)
,
Venus/V Prime (Survival),Venus/V Prime (Survival)
Rotation A,Rotation A
"2,000 Credits Cache",Common (50.00%)
100 Endo,Common (50.00%)
Rotation B,Rotation B
Parry,Rare (7.69%)
Steel Fiber,Rare (7.69%)
Serration,Rare (7.69%)
Incendiary Coat,Rare (7.69%)
Hornet Strike,Rare (7.69%)
Intensify,Rare (7.69%)
Lith N14 Relic,Rare (7.69%)
Lith W3 Relic,Rare (7.69%)
Lith G8 Relic,Rare (7.69%)
Lith T10 Relic,Rare (7.69%)
Lith R4 Relic,Rare (7.69%)
Lith H9 Relic,Rare (7.69%)
Lith C10 Relic,Rare (7.69%)
Rotation C,Rotation C
Arrow Mutation,Rare (3.76%)
Rifle Ammo Mutation,Rare (3.76%)
Sniper Ammo Mutation,Rare (3.76%)
Shotgun Ammo Mutation,Rare (3.76%)
Pistol Ammo Mutation,Rare (3.76%)
Cleanse Grineer,Rare (3.76%)
Lith N14 Relic,Uncommon (11.06%)
Lith W3 Relic,Uncommon (11.06%)
Lith G8 Relic,Uncommon (11.06%)
Lith T10 Relic,Uncommon (11.06%)
Lith R4 Relic,Uncommon (11.06%)
Lith H9 Relic,Uncommon (11.06%)
Lith C10 Relic,Uncommon (11.06%)
,
Venus/Ishtar (Caches),Venus/Ishtar (Caches)
Rotation A,Rotation A
"2,500 Credits Cache",Very Common (100.00%)
Rotation B,Rotation B
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (22.11%)
400 Endo,Ultra Rare (1.01%)
400 Endo,Ultra Rare (1.01%)
240X Polymer Bundle,Uncommon (12.65%)
750X Circuits,Uncommon (12.65%)
750X Alloy Plate,Uncommon (12.65%)
Rotation C,Rotation C
80 Endo,Uncommon (15.10%)
150 Endo,Uncommon (15.10%)
Morphics,Uncommon (15.10%)
Gallium,Uncommon (15.10%)
Neurodes,Uncommon (15.10%)
2X Morphics,Rare (5.50%)
2X Gallium,Rare (5.50%)
2X Neurodes,Rare (5.50%)
160 Endo,Rare (5.50%)
Argon Crystal,Legendary (0.67%)
Tellurium,Legendary (0.67%)
Nitain Extract,Legendary (0.67%)
Xiphos Fuselage Blueprint,Legendary (0.50%)
,
Event: Venus/Vesper (Spy),Event: Venus/Vesper (Spy)
Rotation A,Rotation A
"1,500 Credits Cache",Uncommon (14.29%)
"1,500 Credits Cache",Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
100 Endo,Uncommon (14.29%)
Reflection,Uncommon (14.29%)
Reflex Guard,Uncommon (14.29%)
Parry,Uncommon (14.29%)
Rotation B,Rotation B
Lith N14 Relic,Uncommon (14.29%)
Lith W3 Relic,Uncommon (14.29%)
Lith G8 Relic,Uncommon (14.29%)
Lith T10 Relic,Uncommon (14.29%)
Lith R4 Relic,Uncommon (14.29%)
Lith H9 Relic,Uncommon (14.29%)
Lith C10 Relic,Uncommon (14.29%)
Rotation C,Rotation C
Master Key,Uncommon (10.00%)
Reflection,Uncommon (10.00%)
Parry,Uncommon (10.00%)
Heavy Impact,Uncommon (10.00%)
Serration,Uncommon (10.00%)
Hornet Strike,Uncommon (10.00%)
Metal Auger,Uncommon (10.00%)
Volcanic Edge,Uncommon (10.00%)
Vicious Frost,Uncommon (10.00%)
Ivara Systems Blueprint,Uncommon (10.00%)
,
Venus/Cytherean (Interception),Venus/Cytherean (Interception)
Rotation A,Rotation A
Vitality,Uncommon (10.00%)
Magazine Warp,Uncommon (10.00%)
Trick Mag,Uncommon (10.00%)
Lith N14 Relic,Uncommon (10.00%)
Lith W3 Relic,Uncommon (10.00%)
Lith G8 Relic,Uncommon (10.00%)
Lith T10 Relic,Uncommon (10.00%)
Lith R4 Relic,Uncommon (10.00%)
Lith H9 Relic,Uncommon (10.00%)
Lith C10 Relic,Uncommon (10.00%)
Rotation B,Rotation B
Speed Trigger,Rare (5.88%)
Fast Deflection,Rare (5.88%)
Rush,Rare (5.88%)
Target Cracker,Rare (5.88%)
No Return,Rare (5.88%)
Serration,Rare (5.88%)
Hornet Strike,Rare (5.88%)
Reflex Coil,Rare (5.88%)
Deep Freeze,Rare (5.88%)
North Wind,Rare (5.88%)
Meso P14 Relic,Rare (5.88%)
Meso G5 Relic,Rare (5.88%)
Meso M4 Relic,Rare (5.88%)
Meso P13 Relic,Rare (5.88%)
Meso B8 Relic,Rare (5.88%)
Meso W3 Relic,Rare (5.88%)
Meso C9 Relic,Rare (5.88%)
Rotation C,Rotation C
Natural Talent,Rare (2.58%)
Meso P14 Relic,Uncommon (13.92%)
Meso G5 Relic,Uncommon (13.92%)
Meso M4 Relic,Uncommon (13.92%)
Meso P13 Relic,Uncommon (13.92%)
Meso B8 Relic,Uncommon (13.92%)
Meso W3 Relic,Uncommon (13.92%)
Meso C9 Relic,Uncommon (13.92%)
,
Venus/Linea (Rescue),Venus/Linea (Rescue)
Rotation B,Rotation B
Vapor Specter Blueprint,Very Common (100.00%)
Rotation C,Rotation C
Phase Specter Blueprint,Very Common (100.00%)
,
Venus/Fossa (Assassination),Venus/Fossa (Assassination)
Rhino Neuroptics Blueprint,Common (38.72%)
Rhino Chassis Blueprint,Common (38.72%)
Rhino Systems Blueprint,Uncommon (22.56%)
,
