Mob,Mod,Chance
,50 Endo,Uncommon (22.11%)
,80 Endo,Rare (2.01%)
,,
Executioner Nok,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,15 Endo,Very Common (75.88%)
,50 Endo,Uncommon (22.11%)
,80 Endo,Rare (2.01%)
,,
Executioner Gorth,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,15 Endo,Very Common (75.88%)
,50 Endo,Uncommon (22.11%)
,80 Endo,Rare (2.01%)
,,
Amalgam Moa,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Amalgam Kucumatz,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Demolyst Machinist,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Demolyst Heqet,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Amalgam Osprey,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Demolyst Moa,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Amalgam Satyr,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Demolyst Osprey,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Amalgam Alkonost,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Amalgam Machinist,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Demolyst Satyr,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Amalgam Heqet,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Vapos Tech,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Point Strike,Common (37.94%)
,15 Endo,Common (37.94%)
,Charged Shell,Rare (5.53%)
,Cleanse Grineer,Rare (5.53%)
,Swirling Tiger,Rare (5.53%)
,50 Endo,Rare (5.53%)
,Handspring,Rare (2.01%)
,,
Vapos Sapping Osprey,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Crowd Dispersion,Uncommon (25.29%)
,Magazine Warp,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Stretch,Uncommon (11.06%)
,Diamond Skin,Uncommon (11.06%)
,Split Chamber,Legendary (0.67%)
,Gleaming Talon,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Vapos Elite Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,15 Endo,Very Common (75.88%)
,Fury,Rare (5.53%)
,No Return,Rare (5.53%)
,Infected Clip,Rare (5.53%)
,50 Endo,Rare (5.53%)
,Jagged Edge,Legendary (0.67%)
,Gnashing Payara,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Vapos Tech Ranger,Mod Drop Chance: 10.00%,Mod Drop Chance: 10.00%
,Melee Prowess,Uncommon (25.29%)
,Point Strike,Uncommon (25.29%)
,Shredder,Uncommon (25.29%)
,Concussion Rounds,Rare (4.42%)
,Infected Clip,Rare (4.42%)
,Charged Shell,Rare (4.42%)
,Incendiary Coat,Rare (4.42%)
,Cleanse Grineer,Rare (4.42%)
,Combustion Beam,Legendary (0.67%)
,Ravage,Legendary (0.67%)
,Handspring,Legendary (0.67%)
,,
Vapos Elite Ranger,Mod Drop Chance: 10.00%,Mod Drop Chance: 10.00%
,Melee Prowess,Uncommon (25.29%)
,Point Strike,Uncommon (25.29%)
,Shredder,Uncommon (25.29%)
,Concussion Rounds,Rare (4.42%)
,Infected Clip,Rare (4.42%)
,Charged Shell,Rare (4.42%)
,Incendiary Coat,Rare (4.42%)
,Cleanse Grineer,Rare (4.42%)
,Combustion Beam,Legendary (0.67%)
,Ravage,Legendary (0.67%)
,Handspring,Legendary (0.67%)
,,
Vapos Nullifier Ranger,Mod Drop Chance: 10.00%,Mod Drop Chance: 10.00%
,Melee Prowess,Uncommon (25.29%)
,Point Strike,Uncommon (25.29%)
,Shredder,Uncommon (25.29%)
,Concussion Rounds,Rare (4.42%)
,Infected Clip,Rare (4.42%)
,Charged Shell,Rare (4.42%)
,Incendiary Coat,Rare (4.42%)
,Cleanse Grineer,Rare (4.42%)
,Combustion Beam,Legendary (0.67%)
,Ravage,Legendary (0.67%)
,Handspring,Legendary (0.67%)
,,
Vapos Detron Ranger,Mod Drop Chance: 10.00%,Mod Drop Chance: 10.00%
,Melee Prowess,Uncommon (25.29%)
,Point Strike,Uncommon (25.29%)
,Shredder,Uncommon (25.29%)
,Concussion Rounds,Rare (4.42%)
,Infected Clip,Rare (4.42%)
,Charged Shell,Rare (4.42%)
,Incendiary Coat,Rare (4.42%)
,Cleanse Grineer,Rare (4.42%)
,Combustion Beam,Legendary (0.67%)
,Ravage,Legendary (0.67%)
,Handspring,Legendary (0.67%)
,,
Vapos Sniper Ranger,Mod Drop Chance: 10.00%,Mod Drop Chance: 10.00%
,Melee Prowess,Uncommon (25.29%)
,Point Strike,Uncommon (25.29%)
,Shredder,Uncommon (25.29%)
,Concussion Rounds,Rare (4.42%)
,Infected Clip,Rare (4.42%)
,Charged Shell,Rare (4.42%)
,Incendiary Coat,Rare (4.42%)
,Cleanse Grineer,Rare (4.42%)
,Combustion Beam,Legendary (0.67%)
,Ravage,Legendary (0.67%)
,Handspring,Legendary (0.67%)
,,
Vapos Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Revenge,Uncommon (25.29%)
,Ammo Drum,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,North Wind,Uncommon (11.06%)
,Smite Grineer,Uncommon (11.06%)
,Energy Channel,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Vapos Anti Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Enhanced Vitality,Common (38.72%)
,Thief's Wit,Common (38.72%)
,Pathogen Rounds,Rare (7.52%)
,Shotgun Savvy,Rare (7.52%)
,Swirling Tiger,Rare (7.52%)
,,
Vapos Prod Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Pistol Gambit,Common (37.94%)
,Metal Fiber,Common (37.94%)
,Chilling Grasp,Uncommon (11.06%)
,Shotgun Savvy,Uncommon (11.06%)
,Guardian Derision,Legendary (0.50%)
,Vital Sense,Legendary (0.50%)
,Rapid Resilience,Legendary (0.50%)
,80 Endo,Legendary (0.50%)
,,
Vapos Nullifier,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Assault Mode,Very Common (75.88%)
,Incendiary Coat,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Combustion Beam,Legendary (0.50%)
,Ravage,Legendary (0.50%)
,Stalking Fan,Legendary (0.50%)
,80 Endo,Legendary (0.50%)
,,
Vapos Railgun Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Trick Mag,Common (38.72%)
,15 Endo,Common (38.72%)
,Charged Chamber,Uncommon (11.28%)
,50 Endo,Uncommon (11.28%)
,,
Vapos Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Reach,Uncommon (25.29%)
,Ammo Drum,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Fury,Uncommon (11.06%)
,No Return,Uncommon (11.06%)
,Reaping Spiral,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Vapos Bioengineer,Mod Drop Chance: 4.00%,Mod Drop Chance: 4.00%
,Combustion Beam,Uncommon (25.00%)
,Gaia's Tragedy,Uncommon (25.00%)
,Vulpine Mask,Uncommon (25.00%)
,80 Endo,Uncommon (25.00%)
,,
Vapos Shield Osprey,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,15 Endo,Very Common (75.88%)
,Hawk Eye,Rare (7.37%)
,Shotgun Barrage,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Shock Absorbers,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Vapos Shockwave Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Trick Mag,Uncommon (25.29%)
,Piercing Hit,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Cryo Rounds,Uncommon (11.06%)
,Stretch,Uncommon (11.06%)
,Pointed Wind,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Vapos Detron Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Melee Prowess,Uncommon (25.81%)
,Shredder,Uncommon (25.81%)
,15 Endo,Uncommon (25.81%)
,Concussion Rounds,Rare (5.64%)
,Infected Clip,Rare (5.64%)
,Sinking Talon,Rare (5.64%)
,50 Endo,Rare (5.64%)
,,
Vapos Sniper Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Assault Mode,Very Common (75.88%)
,Incendiary Coat,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Combustion Beam,Legendary (0.50%)
,Ravage,Legendary (0.50%)
,Stalking Fan,Legendary (0.50%)
,80 Endo,Legendary (0.50%)
,,
Vapos Oxium Osprey,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Melee Prowess,Uncommon (25.29%)
,Vitality,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Fury,Rare (7.37%)
,Convulsion,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Hell's Chamber,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Vapos Fusion Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Vaporize,Uncommon (18.97%)
,Enhanced Vitality,Uncommon (18.97%)
,Thief's Wit,Uncommon (18.97%)
,15 Endo,Uncommon (18.97%)
,Smite Corpus,Rare (5.53%)
,Antitoxin,Rare (5.53%)
,Rush,Rare (5.53%)
,50 Endo,Rare (5.53%)
,Self Destruct,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Amalgam Cinder Machinist,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Amalgam Arca Kucumatz,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Amalgam Arca Heqet,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Amalgam Phase Moa,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Amalgam Swarm Satyr,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Vapos Aquila,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,Bleeding Edge,Common (37.94%)
,15 Endo,Common (37.94%)
,Blazing Steel,Rare (7.37%)
,Energy Amplifier,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Dual Rounds,Rare (2.01%)
,,
Taro Ranger Crewman,Mod Drop Chance: 10.00%,Mod Drop Chance: 10.00%
,Melee Prowess,Uncommon (25.29%)
,Point Strike,Uncommon (25.29%)
,Shredder,Uncommon (25.29%)
,Concussion Rounds,Rare (4.42%)
,Infected Clip,Rare (4.42%)
,Charged Shell,Rare (4.42%)
,Incendiary Coat,Rare (4.42%)
,Cleanse Grineer,Rare (4.42%)
,Combustion Beam,Legendary (0.67%)
,Ravage,Legendary (0.67%)
,Handspring,Legendary (0.67%)
,,
Optio,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Point Strike,Common (37.94%)
,15 Endo,Common (37.94%)
,Charged Shell,Rare (5.53%)
,Cleanse Grineer,Rare (5.53%)
,Swirling Tiger,Rare (5.53%)
,50 Endo,Rare (5.53%)
,Handspring,Rare (2.01%)
,,
Taro Zerca,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Melee Prowess,Uncommon (25.81%)
,Shredder,Uncommon (25.81%)
,15 Endo,Uncommon (25.81%)
,Concussion Rounds,Rare (5.64%)
,Infected Clip,Rare (5.64%)
,Sinking Talon,Rare (5.64%)
,50 Endo,Rare (5.64%)
,,
Taro Vambac,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Melee Prowess,Uncommon (25.81%)
,Shredder,Uncommon (25.81%)
,15 Endo,Uncommon (25.81%)
,Concussion Rounds,Rare (5.64%)
,Infected Clip,Rare (5.64%)
,Sinking Talon,Rare (5.64%)
,50 Endo,Rare (5.64%)
,,
Taro Numon,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Melee Prowess,Uncommon (25.81%)
,Shredder,Uncommon (25.81%)
,15 Endo,Uncommon (25.81%)
,Concussion Rounds,Rare (5.64%)
,Infected Clip,Rare (5.64%)
,Sinking Talon,Rare (5.64%)
,50 Endo,Rare (5.64%)
,,
Tarask Bursa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Revenge,Uncommon (25.29%)
,Ammo Drum,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,North Wind,Uncommon (11.06%)
,Smite Grineer,Uncommon (11.06%)
,Life Strike,Rare (2.01%)
,,
Taro Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Revenge,Uncommon (25.29%)
,Ammo Drum,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,North Wind,Uncommon (11.06%)
,Smite Grineer,Uncommon (11.06%)
,Energy Channel,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Taro Disc Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Enhanced Vitality,Common (38.72%)
,Thief's Wit,Common (38.72%)
,Pathogen Rounds,Rare (7.52%)
,Shotgun Savvy,Rare (7.52%)
,Swirling Tiger,Rare (7.52%)
,,
Taro Elite Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,15 Endo,Very Common (75.88%)
,Fury,Rare (5.53%)
,No Return,Rare (5.53%)
,Infected Clip,Rare (5.53%)
,50 Endo,Rare (5.53%)
,Jagged Edge,Legendary (0.67%)
,Gnashing Payara,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Taro Stropha Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Pistol Gambit,Common (37.94%)
,Metal Fiber,Common (37.94%)
,Chilling Grasp,Uncommon (11.06%)
,Shotgun Savvy,Uncommon (11.06%)
,Guardian Derision,Legendary (0.50%)
,Vital Sense,Legendary (0.50%)
,Rapid Resilience,Legendary (0.50%)
,80 Endo,Legendary (0.50%)
,,
Taro Nullifier Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Assault Mode,Very Common (75.88%)
,Incendiary Coat,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Combustion Beam,Legendary (0.50%)
,Ravage,Legendary (0.50%)
,Stalking Fan,Legendary (0.50%)
,80 Endo,Legendary (0.50%)
,,
Axio Nullifier Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Assault Mode,Very Common (75.88%)
,Incendiary Coat,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Combustion Beam,Legendary (0.50%)
,Ravage,Legendary (0.50%)
,Stalking Fan,Legendary (0.50%)
,80 Endo,Legendary (0.50%)
,,
Vorac Nullifier Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Assault Mode,Very Common (75.88%)
,Incendiary Coat,Uncommon (11.06%)
,50 Endo,Uncommon (11.06%)
,Combustion Beam,Legendary (0.50%)
,Ravage,Legendary (0.50%)
,Stalking Fan,Legendary (0.50%)
,80 Endo,Legendary (0.50%)
,,
Taro Railgun Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Trick Mag,Common (38.72%)
,15 Endo,Common (38.72%)
,Charged Chamber,Uncommon (11.28%)
,50 Endo,Uncommon (11.28%)
,,
Taro Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Reach,Uncommon (25.29%)
,Ammo Drum,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Fury,Uncommon (11.06%)
,No Return,Uncommon (11.06%)
,Reaping Spiral,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Taro Shield Osprey,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,15 Endo,Very Common (75.88%)
,Hawk Eye,Rare (7.37%)
,Shotgun Barrage,Rare (7.37%)
,50 Endo,Rare (7.37%)
,Shock Absorbers,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Taro Shockwave Moa,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Trick Mag,Uncommon (25.29%)
,Piercing Hit,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,Cryo Rounds,Uncommon (11.06%)
,Stretch,Uncommon (11.06%)
,Pointed Wind,Ultra Rare (1.01%)
,80 Endo,Ultra Rare (1.01%)
,,
Taro Detron Crewman,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Melee Prowess,Uncommon (25.81%)
,Shredder,Uncommon (25.81%)
,15 Endo,Uncommon (25.81%)
,Concussion Rounds,Rare (5.64%)
,Infected Clip,Rare (5.64%)
,Sinking Talon,Rare (5.64%)
,50 Endo,Rare (5.64%)
,,
Taro Pilot,Mod Drop Chance: 4.00%,Mod Drop Chance: 4.00%
,Combustion Beam,Uncommon (25.00%)
,Gaia's Tragedy,Uncommon (25.00%)
,Vulpine Mask,Uncommon (25.00%)
,80 Endo,Uncommon (25.00%)
,,
Aurax Actinic,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Melee Prowess,Uncommon (25.81%)
,Shredder,Uncommon (25.81%)
,15 Endo,Uncommon (25.81%)
,Concussion Rounds,Rare (5.64%)
,Infected Clip,Rare (5.64%)
,Sinking Talon,Rare (5.64%)
,50 Endo,Rare (5.64%)
,,
Aurax Vertec,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Melee Prowess,Uncommon (25.81%)
,Shredder,Uncommon (25.81%)
,15 Endo,Uncommon (25.81%)
,Concussion Rounds,Rare (5.64%)
,Infected Clip,Rare (5.64%)
,Sinking Talon,Rare (5.64%)
,50 Endo,Rare (5.64%)
,,
Taro Tech,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Ammo Drum,Uncommon (25.29%)
,Thief's Wit,Uncommon (25.29%)
,15 Endo,Uncommon (25.29%)
,No Return,Uncommon (22.11%)
,Barrel Diffusion,Legendary (0.67%)
,Reaping Spiral,Legendary (0.67%)
,80 Endo,Legendary (0.67%)
,,
Aurax Atloc Raknoid,Mod Drop Chance: 10.00%,Mod Drop Chance: 10.00%
,Organ Shatter,Common (37.94%)
,Reach,Common (37.94%)
,Shocking Touch,Rare (3.69%)
,Molten Impact,Rare (3.69%)
,North Wind,Rare (3.69%)
,Reflex Coil,Rare (3.69%)
,Fever Strike,Rare (3.69%)
,Stretch,Rare (3.69%)
,Life Strike,Ultra Rare (1.01%)
,Split Chamber,Ultra Rare (1.01%)
,,
Aurax Culveri Moa,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Aurax Polaris Moa,Mod Drop Chance: 15.00%,Mod Drop Chance: 15.00%
,Aero Periphery,Common (36.21%)
,Motus Signal,Uncommon (21.82%)
,Proton Pulse,Uncommon (21.82%)
,Aero Vantage,Rare (5.76%)
,Motus Impact,Rare (5.76%)
,Proton Jet,Rare (5.76%)
,Motus Setup,Ultra Rare (1.44%)
,Proton Snap,Ultra Rare (1.44%)
,,
Aurax Baculus,Mod Drop Chance: 3.00%,Mod Drop Chance: 3.00%
,Pressure Point,Uncommon (25.29%)
,Point Strike,Uncommon (25.29%)
,Fast Hands,Uncommon (25.29%)
,Enduring Affliction,Rare (3.69%)
,North Wind,Rare (3.69%)
,Reflex Coil,Rare (3.69%)
,Smite Grineer,Rare (3.69%)
,Atlantis Vulcan,Rare (3.69%)
,50 Endo,Rare (3.69%)
,80 Endo,Rare (2.01%)
